ModelName,CPUUsage,RAMUsage,Temperature,Voltage,DiskUsage,FanSpeed,ProblemDetected
Lenovo ThinkCentre M90q,69.81,100.0,66.95,12.49,70.56,3318,Memory Leak
HP EliteDesk 800 G6,41.43,55.08,77.38,11.65,47.9,2253,Disk Failure
Lenovo ThinkCentre M90q,37.09,43.98,48.49,11.59,97.11,3052,Disk Failure
HP Z2 G8,80.22,51.89,102.69,12.42,74.36,3728,Overheating
Dell Precision 3650,100.0,61.66,96.61,12.46,55.16,3465,Overheating
Dell OptiPlex 7090,64.85,38.27,59.26,12.04,98.24,1350,Disk Failure
Dell OptiPlex 7090,39.79,43.66,35.46,12.15,34.45,1851,No Problem
HP EliteDesk 800 G6,53.85,67.17,101.63,11.76,50.09,5192,Overheating
Dell Precision 3650,72.71,88.15,61.91,12.07,43.68,3128,Memory Leak
Dell Precision 3650,40.95,55.55,67.51,11.83,86.54,1002,Disk Failure
Dell OptiPlex 7090,20.45,47.1,37.86,12.0,41.13,1649,No Problem
Lenovo ThinkCentre M90q,48.26,36.76,51.14,12.38,53.87,3579,Disk Failure
HP Z2 G8,29.14,57.45,42.45,12.03,82.0,2308,No Problem
Lenovo ThinkCentre M90q,24.07,23.32,53.41,12.25,33.86,2861,Disk Failure
Lenovo ThinkCentre M90q,52.64,58.09,61.81,15.14,38.63,3305,Power Issue
HP Z2 G8,25.27,46.08,60.76,12.39,81.28,2413,Disk Failure
Dell Precision 3650,85.34,20.82,50.76,14.42,41.78,1547,Power Issue
HP Z2 G8,5.0,65.28,48.89,11.92,70.06,1682,No Problem
Dell OptiPlex 7090,71.85,92.1,55.64,11.61,82.95,2706,Memory Leak
HP Z2 G8,36.36,17.61,60.74,14.81,58.66,1425,Power Issue
Dell OptiPlex 7090,62.89,55.42,99.58,11.35,58.35,4593,Overheating
HP EliteDesk 800 G6,70.09,69.54,47.67,11.46,85.1,1926,Disk Failure
HP EliteDesk 800 G6,43.44,50.42,50.51,8.56,40.3,1881,Power Issue
Dell OptiPlex 7090,70.74,30.57,55.91,12.12,73.18,2588,No Problem
Dell OptiPlex 7090,28.94,41.75,56.93,10.59,45.08,2773,Power Issue
HP EliteDesk 800 G6,50.58,81.76,42.84,12.09,66.17,3946,Memory Leak
Dell OptiPlex 7090,88.99,81.69,73.02,12.26,49.9,4629,Overheating
HP EliteDesk 800 G6,56.38,48.69,53.82,11.8,83.37,2937,Disk Failure
HP EliteDesk 800 G6,41.92,86.15,69.48,12.52,45.7,3511,Memory Leak
Lenovo ThinkCentre M90q,62.75,100.0,72.66,11.89,56.18,3459,Memory Leak
Dell OptiPlex 7090,5.0,29.5,42.62,12.26,9.7,1832,No Problem
Dell OptiPlex 7090,38.56,51.64,67.8,11.82,87.27,2798,Disk Failure
Dell Precision 3650,40.21,54.42,57.5,13.75,3.0,1943,Power Issue
HP Z2 G8,39.46,53.35,53.33,12.0,86.48,3335,Disk Failure
Dell Precision 3650,55.9,23.75,48.66,11.73,98.34,2358,Disk Failure
Lenovo ThinkCentre M90q,86.48,100.0,62.54,12.32,30.43,4230,Memory Leak
HP EliteDesk 800 G6,88.06,91.9,88.3,12.04,31.51,4454,Memory Leak
HP Z2 G8,52.4,44.42,48.07,8.78,39.84,2636,Power Issue
Dell Precision 3650,54.09,69.8,50.06,15.04,26.97,2751,Power Issue
HP EliteDesk 800 G6,92.9,96.52,48.94,11.81,83.97,1665,Memory Leak
Lenovo ThinkCentre M90q,42.82,32.67,43.35,12.15,29.41,2016,No Problem
Dell OptiPlex 7090,32.5,48.26,45.76,11.91,53.17,2371,No Problem
HP Z2 G8,26.17,58.16,38.73,11.83,100.0,3385,Disk Failure
Lenovo ThinkCentre M90q,34.59,43.03,52.74,11.63,59.82,2156,Disk Failure
HP EliteDesk 800 G6,74.4,80.12,74.54,11.74,27.05,1647,Memory Leak
HP Z2 G8,65.75,61.11,72.0,12.38,43.74,6454,Overheating
HP Z2 G8,54.22,59.52,109.23,11.94,43.77,6207,Overheating
Dell Precision 3650,80.99,64.91,92.1,12.12,43.85,3919,Overheating
Dell OptiPlex 7090,64.36,35.17,64.8,11.45,93.95,2778,Disk Failure
Dell Precision 3650,31.22,30.81,49.36,11.59,53.04,2866,No Problem
HP EliteDesk 800 G6,43.74,37.21,25.78,12.01,68.24,2325,No Problem
Lenovo ThinkCentre M90q,20.37,51.46,60.01,14.19,34.82,2149,Power Issue
Dell OptiPlex 7090,46.75,39.56,35.4,11.85,97.95,3632,Disk Failure
Dell OptiPlex 7090,55.49,27.86,56.34,7.71,25.89,1849,Power Issue
Dell Precision 3650,33.45,39.73,54.59,12.25,16.55,1998,No Problem
Dell OptiPlex 7090,58.01,66.53,36.79,12.39,87.24,2117,Disk Failure
HP Z2 G8,100.0,83.77,68.95,11.85,95.37,3260,Memory Leak
HP EliteDesk 800 G6,71.39,46.14,100.1,12.01,14.19,4952,Overheating
HP EliteDesk 800 G6,56.95,55.59,54.86,14.09,62.94,2156,Power Issue
HP Z2 G8,57.22,54.47,51.02,12.04,71.64,1634,No Problem
Dell OptiPlex 7090,70.01,71.36,86.68,12.38,48.24,5592,Overheating
Dell Precision 3650,65.69,88.56,70.56,12.37,41.58,2378,Memory Leak
Lenovo ThinkCentre M90q,96.59,69.95,50.26,13.15,98.4,2114,Power Issue
HP Z2 G8,100.0,100.0,47.39,11.76,64.02,3355,Memory Leak
Dell OptiPlex 7090,84.85,95.15,78.31,11.9,41.13,5504,Overheating
Dell Precision 3650,37.33,43.25,41.31,11.7,55.95,1380,No Problem
Dell OptiPlex 7090,57.7,53.31,69.35,14.59,76.61,1694,Power Issue
Lenovo ThinkCentre M90q,86.07,93.42,72.77,11.92,36.43,3110,Memory Leak
HP EliteDesk 800 G6,95.66,100.0,51.87,11.92,48.52,2228,Memory Leak
HP Z2 G8,82.72,81.7,73.96,11.73,96.45,3584,Memory Leak
HP EliteDesk 800 G6,49.29,100.0,69.33,11.83,58.11,2399,Memory Leak
Dell Precision 3650,50.16,75.69,62.15,12.57,79.53,2452,Disk Failure
Dell OptiPlex 7090,59.41,60.31,82.87,12.05,48.84,4339,Overheating
Lenovo ThinkCentre M90q,100.0,41.74,72.0,12.14,56.17,4848,Overheating
HP EliteDesk 800 G6,53.86,57.09,63.73,13.51,79.4,2813,Power Issue
HP Z2 G8,40.8,46.72,47.12,11.9,89.51,2787,Disk Failure
HP Z2 G8,54.12,50.98,58.12,11.82,43.42,2552,No Problem
Dell Precision 3650,72.77,91.77,73.34,11.46,63.84,2688,Memory Leak
HP EliteDesk 800 G6,66.69,63.95,58.19,9.59,51.66,1895,Power Issue
HP EliteDesk 800 G6,40.32,54.31,67.12,9.9,96.37,3191,Power Issue
Dell OptiPlex 7090,61.6,100.0,48.01,11.78,82.48,3261,Memory Leak
Lenovo ThinkCentre M90q,70.4,89.14,75.2,12.24,92.0,3406,Memory Leak
Dell OptiPlex 7090,39.09,13.38,35.22,11.73,70.85,2510,No Problem
Lenovo ThinkCentre M90q,50.59,16.88,63.72,15.27,47.49,2350,Power Issue
Lenovo ThinkCentre M90q,90.73,68.06,101.15,11.97,18.27,1454,Overheating
HP EliteDesk 800 G6,58.6,26.47,53.08,10.77,53.28,2391,Power Issue
Dell OptiPlex 7090,94.71,65.43,78.47,12.16,75.02,1778,Overheating
Dell OptiPlex 7090,56.5,19.04,52.51,11.86,29.14,2895,No Problem
HP EliteDesk 800 G6,77.12,48.64,77.86,11.77,68.99,3724,Overheating
Dell Precision 3650,41.59,33.33,54.44,11.51,50.03,2036,No Problem
Dell Precision 3650,53.0,21.15,35.44,14.8,30.03,2534,Power Issue
Dell Precision 3650,72.31,85.51,72.0,12.14,60.92,3747,Overheating
Dell Precision 3650,53.05,22.27,58.03,13.48,87.43,3748,Power Issue
Dell OptiPlex 7090,47.42,32.58,52.52,12.04,53.93,2203,No Problem
Lenovo ThinkCentre M90q,39.21,39.1,53.98,12.34,86.94,4094,Disk Failure
Lenovo ThinkCentre M90q,38.74,42.13,36.72,12.16,82.0,1901,No Problem
Lenovo ThinkCentre M90q,18.63,30.82,72.62,14.72,55.66,2504,Power Issue
Dell OptiPlex 7090,44.8,56.94,58.4,13.26,74.74,3007,Power Issue
Dell Precision 3650,58.48,83.26,30.74,11.9,92.4,3363,Disk Failure
Dell OptiPlex 7090,74.45,47.49,62.43,11.38,87.62,2850,Disk Failure
Lenovo ThinkCentre M90q,53.03,44.94,64.7,9.67,17.73,2970,Power Issue
HP EliteDesk 800 G6,24.54,45.66,51.01,12.23,52.29,2551,No Problem
HP Z2 G8,15.25,27.03,51.6,11.7,53.73,2218,No Problem
Dell Precision 3650,30.87,43.92,58.37,11.29,64.34,2475,Power Issue
Dell Precision 3650,38.01,47.37,60.66,11.94,94.08,2713,Disk Failure
Lenovo ThinkCentre M90q,42.95,49.18,52.6,11.89,33.4,1812,No Problem
HP EliteDesk 800 G6,62.59,90.28,66.92,12.2,41.38,3836,Memory Leak
HP Z2 G8,24.21,41.4,51.97,11.95,67.38,1963,Disk Failure
HP EliteDesk 800 G6,84.04,44.67,81.37,16.2,81.48,4449,Power Issue
HP EliteDesk 800 G6,31.92,41.82,52.45,12.18,54.08,1605,No Problem
Dell OptiPlex 7090,42.72,61.35,56.12,14.9,53.56,2866,Power Issue
Lenovo ThinkCentre M90q,60.46,87.0,64.82,11.94,46.94,3337,Memory Leak
HP Z2 G8,54.43,96.01,57.93,11.7,67.96,3697,Memory Leak
Lenovo ThinkCentre M90q,71.12,37.1,72.0,11.71,22.91,4178,Overheating
HP Z2 G8,82.21,100.0,68.12,12.2,44.17,2046,Memory Leak
Dell OptiPlex 7090,57.07,49.67,44.84,12.07,66.65,1846,No Problem
Lenovo ThinkCentre M90q,66.82,86.34,57.09,11.62,55.46,2397,Memory Leak
HP EliteDesk 800 G6,73.64,58.17,121.25,11.68,72.04,6153,Overheating
HP Z2 G8,59.8,100.0,64.33,11.55,33.46,2432,Memory Leak
Lenovo ThinkCentre M90q,29.57,59.81,52.44,12.33,65.67,2155,No Problem
HP EliteDesk 800 G6,62.49,68.82,44.63,16.5,70.46,2588,Power Issue
HP EliteDesk 800 G6,35.05,40.32,55.79,12.27,84.0,1654,Disk Failure
Dell Precision 3650,62.78,100.0,59.85,11.2,69.41,2790,Memory Leak
Lenovo ThinkCentre M90q,76.18,56.54,87.53,11.58,68.24,5658,Overheating
Dell OptiPlex 7090,33.56,41.33,56.38,12.02,48.16,2842,No Problem
HP EliteDesk 800 G6,64.63,19.55,45.85,12.15,78.85,2744,Disk Failure
Lenovo ThinkCentre M90q,63.73,83.38,81.09,11.87,62.26,4015,Memory Leak
HP EliteDesk 800 G6,28.27,34.49,55.85,12.16,49.4,1647,No Problem
HP EliteDesk 800 G6,79.28,98.74,82.48,11.71,62.28,2623,Memory Leak
Dell Precision 3650,31.58,74.2,61.17,12.49,87.06,2298,Disk Failure
HP Z2 G8,40.7,77.94,57.04,12.06,100.0,1390,Disk Failure
Dell Precision 3650,57.24,32.34,45.2,9.89,70.46,3236,Power Issue
HP Z2 G8,74.7,60.98,54.93,13.99,20.07,1793,Power Issue
HP Z2 G8,74.8,75.97,94.52,12.18,44.97,1538,Overheating
HP EliteDesk 800 G6,68.56,68.6,56.66,14.94,43.46,2210,Power Issue
Lenovo ThinkCentre M90q,9.04,36.24,57.36,12.23,35.75,2149,No Problem
HP EliteDesk 800 G6,61.6,70.97,57.23,15.58,58.46,2068,Power Issue
Dell OptiPlex 7090,59.39,45.66,26.02,15.66,75.78,3506,Power Issue
Dell OptiPlex 7090,30.55,67.42,67.85,11.85,53.02,2282,Power Issue
Lenovo ThinkCentre M90q,72.65,78.76,83.2,11.66,90.15,4770,Overheating
Lenovo ThinkCentre M90q,69.86,88.83,66.96,11.87,46.4,2666,Memory Leak
Dell Precision 3650,53.21,99.23,74.65,12.06,38.05,3853,Memory Leak
Dell Precision 3650,18.92,42.93,42.38,12.04,51.12,1965,No Problem
Dell Precision 3650,64.27,86.12,87.71,12.52,51.26,3216,Memory Leak
Lenovo ThinkCentre M90q,75.68,30.87,36.97,15.51,46.38,1510,Power Issue
Dell OptiPlex 7090,89.42,49.83,85.35,12.24,44.35,3465,Overheating
Lenovo ThinkCentre M90q,66.89,86.94,41.57,11.98,92.02,2860,Disk Failure
Dell OptiPlex 7090,9.7,27.68,45.91,12.23,53.64,2767,No Problem
Dell OptiPlex 7090,36.89,96.3,75.26,11.58,54.16,4247,Memory Leak
HP Z2 G8,26.25,58.37,81.93,7.59,19.02,3210,Power Issue
Lenovo ThinkCentre M90q,46.67,42.4,37.05,11.99,28.0,2694,No Problem
HP EliteDesk 800 G6,87.75,90.52,85.63,12.22,36.49,1318,Overheating
Lenovo ThinkCentre M90q,72.58,47.26,92.23,11.42,58.28,3787,Overheating
HP Z2 G8,9.05,54.79,44.15,12.01,100.0,1834,Disk Failure
Lenovo ThinkCentre M90q,68.97,89.8,95.0,11.52,79.81,3618,Memory Leak
Dell OptiPlex 7090,27.49,52.64,62.72,8.96,18.82,1686,Power Issue
Dell OptiPlex 7090,22.5,43.97,42.2,11.84,21.36,2188,No Problem
Dell Precision 3650,24.49,27.79,70.33,11.17,12.78,2717,Power Issue
Lenovo ThinkCentre M90q,40.24,92.78,63.74,11.65,38.83,3807,Memory Leak
HP EliteDesk 800 G6,91.06,91.29,82.02,12.59,39.6,1696,Overheating
HP EliteDesk 800 G6,43.13,86.73,64.85,11.51,89.01,2465,Disk Failure
HP Z2 G8,3.0,64.81,80.64,14.19,32.28,2060,Power Issue
Dell Precision 3650,84.15,92.56,76.38,11.66,70.09,3677,Memory Leak
Lenovo ThinkCentre M90q,77.1,63.32,92.78,12.03,82.04,2146,Overheating
Dell Precision 3650,45.96,42.44,55.74,12.17,54.3,2148,No Problem
HP EliteDesk 800 G6,37.04,61.13,39.95,15.65,46.45,1757,Power Issue
Lenovo ThinkCentre M90q,74.44,14.02,34.56,15.2,38.76,3229,Power Issue
Lenovo ThinkCentre M90q,77.09,86.88,63.18,11.98,41.32,2670,Memory Leak
Dell Precision 3650,53.37,75.3,56.14,11.99,58.08,3318,Memory Leak
Dell Precision 3650,54.27,88.95,40.28,14.39,55.12,4186,Power Issue
Dell OptiPlex 7090,19.54,48.3,49.13,12.02,60.04,2062,No Problem
Dell Precision 3650,40.53,36.57,45.98,11.84,56.73,2130,No Problem
Lenovo ThinkCentre M90q,86.02,84.99,69.68,11.66,65.16,3132,Memory Leak
HP Z2 G8,28.65,60.39,51.62,12.2,30.19,1690,No Problem
Lenovo ThinkCentre M90q,41.52,36.38,47.65,11.72,51.46,2677,No Problem
Dell Precision 3650,65.23,100.0,65.71,12.25,45.84,3055,Memory Leak
Dell OptiPlex 7090,82.25,87.65,100.71,11.67,53.5,5623,Overheating
HP EliteDesk 800 G6,62.45,81.52,43.68,9.67,43.4,2279,Power Issue
HP Z2 G8,20.88,45.04,50.48,11.88,54.76,2457,No Problem
HP Z2 G8,94.86,63.05,109.55,12.17,55.41,573,Overheating
Dell OptiPlex 7090,75.99,87.0,61.23,11.94,35.7,2269,Memory Leak
HP Z2 G8,37.66,64.09,33.92,11.8,27.89,2081,No Problem
Lenovo ThinkCentre M90q,34.82,31.3,47.09,12.44,24.48,1739,No Problem
Dell OptiPlex 7090,66.88,67.29,90.38,12.34,54.76,1325,Overheating
Dell OptiPlex 7090,39.47,54.56,64.52,9.07,44.56,2824,Power Issue
Dell OptiPlex 7090,35.33,30.06,37.93,13.77,65.02,627,Power Issue
Dell Precision 3650,55.32,63.27,104.7,12.04,32.13,3669,Overheating
HP EliteDesk 800 G6,100.0,55.02,91.82,12.1,50.88,4954,Overheating
Dell Precision 3650,78.83,54.23,49.74,9.11,61.77,3019,Power Issue
Dell OptiPlex 7090,71.57,83.01,72.0,12.21,53.17,5924,Overheating
Dell OptiPlex 7090,59.43,51.3,32.52,12.12,14.19,1280,No Problem
HP EliteDesk 800 G6,63.86,100.0,56.89,12.05,66.59,2075,Memory Leak
HP EliteDesk 800 G6,83.88,74.51,92.15,12.62,92.36,6150,Overheating
Lenovo ThinkCentre M90q,48.75,40.55,45.7,12.47,100.0,2373,Disk Failure
HP Z2 G8,14.38,48.64,44.14,12.02,54.92,2592,No Problem
Lenovo ThinkCentre M90q,27.81,8.0,56.52,11.77,90.81,1465,Disk Failure
HP Z2 G8,12.45,32.99,50.8,12.19,6.21,2431,Power Issue
HP EliteDesk 800 G6,96.41,94.86,65.17,12.05,41.35,3764,Memory Leak
Dell OptiPlex 7090,52.5,85.99,71.91,11.88,28.96,3241,Memory Leak
HP EliteDesk 800 G6,47.2,84.92,59.45,11.86,61.07,2193,Memory Leak
Dell Precision 3650,66.52,34.68,51.09,12.18,50.4,3276,Power Issue
Lenovo ThinkCentre M90q,64.27,100.0,56.03,11.94,92.69,3576,Memory Leak
HP EliteDesk 800 G6,69.12,93.21,57.26,12.11,48.59,3228,Memory Leak
HP Z2 G8,39.71,66.25,55.7,12.04,22.33,1629,No Problem
Dell Precision 3650,76.98,56.02,89.61,12.01,50.24,4977,Overheating
Lenovo ThinkCentre M90q,35.05,54.03,47.59,12.36,97.46,3456,Disk Failure
HP Z2 G8,31.2,30.57,58.91,11.66,44.18,2290,No Problem
HP EliteDesk 800 G6,88.01,71.82,82.93,12.39,53.49,2310,Memory Leak
Lenovo ThinkCentre M90q,88.52,74.43,55.85,11.51,51.05,4068,Power Issue
HP EliteDesk 800 G6,73.62,42.52,71.07,15.5,41.85,1661,Power Issue
HP EliteDesk 800 G6,46.3,78.81,73.13,16.23,75.52,2873,Power Issue
HP Z2 G8,40.1,65.48,60.19,12.5,91.34,1692,Disk Failure
HP EliteDesk 800 G6,21.65,27.75,76.84,15.76,25.27,1010,Power Issue
HP Z2 G8,60.7,78.47,92.04,12.7,19.02,1352,Overheating
Dell OptiPlex 7090,54.45,63.43,60.95,14.48,47.13,3343,Power Issue
HP Z2 G8,36.09,47.6,66.55,11.43,89.4,944,Disk Failure
HP Z2 G8,84.33,39.43,34.32,12.28,86.9,2152,Disk Failure
Dell Precision 3650,72.0,93.35,82.55,11.86,65.71,3075,Memory Leak
Lenovo ThinkCentre M90q,43.44,43.63,60.44,12.06,99.41,2503,Disk Failure
Dell Precision 3650,99.95,84.29,64.92,12.43,50.71,4551,Memory Leak
Lenovo ThinkCentre M90q,30.32,48.54,53.9,12.66,66.86,1770,Disk Failure
Dell Precision 3650,7.54,66.71,34.92,12.32,46.84,2675,No Problem
Dell Precision 3650,37.97,59.36,41.18,11.4,69.42,3075,No Problem
Dell Precision 3650,67.15,54.63,94.0,12.5,58.49,1600,Overheating
HP Z2 G8,22.76,25.11,59.48,12.53,94.08,1925,Disk Failure
HP Z2 G8,49.09,100.0,71.6,11.98,49.38,3258,Memory Leak
HP EliteDesk 800 G6,69.9,97.96,77.85,12.05,67.43,3033,Memory Leak
Dell Precision 3650,59.02,68.79,75.6,12.22,82.65,735,Overheating
Lenovo ThinkCentre M90q,47.67,41.3,55.68,12.06,59.2,2458,No Problem
Dell Precision 3650,17.65,39.73,46.78,12.1,62.42,1701,No Problem
Dell OptiPlex 7090,85.5,61.44,40.88,13.94,23.69,2658,Power Issue
Dell Precision 3650,74.22,60.79,76.87,11.52,70.76,3377,Overheating
HP Z2 G8,43.95,39.61,54.27,12.36,90.97,2819,Disk Failure
Lenovo ThinkCentre M90q,45.6,27.67,52.41,12.03,13.77,2600,No Problem
HP EliteDesk 800 G6,42.07,39.24,49.54,11.99,35.06,2309,No Problem
HP EliteDesk 800 G6,70.48,46.67,51.26,12.05,95.22,2650,Disk Failure
Lenovo ThinkCentre M90q,55.82,48.35,39.74,9.23,55.17,2912,Power Issue
HP EliteDesk 800 G6,56.28,69.06,61.14,11.55,94.46,2787,Disk Failure
Dell OptiPlex 7090,33.96,62.45,55.77,11.92,56.09,1741,No Problem
HP Z2 G8,42.23,69.03,48.02,11.57,40.12,1921,No Problem
Lenovo ThinkCentre M90q,81.89,68.71,86.91,11.78,50.91,5183,Overheating
HP EliteDesk 800 G6,80.01,90.18,69.42,12.03,15.28,3611,Memory Leak
Dell OptiPlex 7090,58.1,49.69,46.75,11.71,90.06,2407,Disk Failure
HP EliteDesk 800 G6,66.13,67.07,50.75,15.93,34.58,3257,Power Issue
Lenovo ThinkCentre M90q,29.63,70.23,40.71,11.7,65.41,2604,No Problem
HP Z2 G8,76.26,94.67,80.38,12.11,5.0,2726,Memory Leak
Dell Precision 3650,100.0,76.95,72.76,12.15,47.63,3490,Memory Leak
Lenovo ThinkCentre M90q,42.44,74.88,54.93,12.35,99.0,2624,Power Issue
HP Z2 G8,11.56,69.62,38.23,9.15,46.95,2527,Power Issue
Dell OptiPlex 7090,51.18,62.87,46.93,12.16,89.07,2565,Disk Failure
Dell OptiPlex 7090,48.42,62.33,95.25,11.99,34.23,4693,Overheating
HP Z2 G8,75.92,90.39,78.41,12.02,69.89,4610,Memory Leak
Dell Precision 3650,41.72,33.76,47.27,12.12,23.95,1998,No Problem
HP EliteDesk 800 G6,88.6,70.51,76.24,12.37,21.98,4254,Overheating
Lenovo ThinkCentre M90q,73.6,69.67,80.43,12.51,59.84,3015,Overheating
Dell Precision 3650,79.04,75.08,36.57,11.2,37.28,1346,Power Issue
Dell OptiPlex 7090,69.12,63.83,54.11,11.65,92.72,1700,Disk Failure
Dell OptiPlex 7090,66.24,100.0,74.27,12.62,56.45,3681,Memory Leak
Dell OptiPlex 7090,94.58,93.37,70.09,12.23,50.09,2952,Memory Leak
HP EliteDesk 800 G6,52.06,81.12,36.56,14.46,78.25,2341,Power Issue
HP EliteDesk 800 G6,32.79,52.0,45.97,11.65,73.28,1800,No Problem
Lenovo ThinkCentre M90q,79.59,86.83,66.57,11.77,40.44,3911,Memory Leak
Lenovo ThinkCentre M90q,55.04,48.15,46.13,12.03,41.15,2381,No Problem
HP Z2 G8,75.33,12.86,45.87,10.77,4.04,3526,Power Issue
HP EliteDesk 800 G6,63.78,7.61,61.04,11.05,76.07,2724,Power Issue
Dell Precision 3650,97.45,96.81,83.09,11.29,51.47,3877,Memory Leak
HP Z2 G8,57.93,51.65,76.61,11.89,5.0,1333,Overheating
Lenovo ThinkCentre M90q,77.13,59.74,80.41,11.85,98.0,4888,Overheating
Lenovo ThinkCentre M90q,41.72,30.08,49.56,11.74,41.46,2259,No Problem
Dell Precision 3650,40.69,31.26,52.02,12.14,86.45,1461,Disk Failure
Dell Precision 3650,80.93,59.43,94.27,11.71,59.42,1854,Overheating
Dell Precision 3650,51.86,49.64,57.88,12.17,84.39,3536,Disk Failure
HP EliteDesk 800 G6,54.97,71.15,40.34,13.96,48.87,3147,Power Issue
Dell Precision 3650,50.23,91.36,64.78,12.17,39.87,3267,Memory Leak
Dell Precision 3650,29.86,46.34,46.85,11.91,59.75,2141,No Problem
HP Z2 G8,36.14,64.93,67.75,14.61,11.93,3475,Power Issue
Lenovo ThinkCentre M90q,40.75,20.37,55.33,11.73,27.04,2485,No Problem
Lenovo ThinkCentre M90q,56.06,10.38,44.6,11.67,79.07,2123,No Problem
HP EliteDesk 800 G6,77.59,80.08,82.19,12.28,98.0,3917,Overheating
HP EliteDesk 800 G6,77.33,33.19,56.22,12.57,84.58,1674,Disk Failure
Dell Precision 3650,54.96,67.04,69.15,8.4,46.55,3335,Power Issue
Lenovo ThinkCentre M90q,45.02,42.78,42.28,11.99,45.2,1916,No Problem
HP Z2 G8,100.0,57.8,81.04,11.7,65.91,4984,Overheating
HP Z2 G8,38.66,97.71,66.78,11.58,52.51,3582,Memory Leak
HP Z2 G8,26.34,51.21,57.06,11.57,70.4,1965,No Problem
HP EliteDesk 800 G6,37.96,61.92,61.76,12.2,90.17,2217,Disk Failure
Lenovo ThinkCentre M90q,86.61,30.78,73.85,12.52,74.97,4186,Overheating
Dell OptiPlex 7090,45.88,55.65,58.76,16.5,50.88,610,Power Issue
Dell Precision 3650,83.41,100.0,57.68,12.4,30.14,2982,Memory Leak
Lenovo ThinkCentre M90q,60.66,86.84,68.72,11.78,29.49,2858,Memory Leak
Dell OptiPlex 7090,36.97,42.54,46.64,11.4,38.31,1589,No Problem
HP EliteDesk 800 G6,66.94,37.95,27.32,14.88,29.64,2064,Power Issue
Dell Precision 3650,44.65,40.24,54.51,12.35,84.38,3026,Disk Failure
Dell OptiPlex 7090,58.1,76.89,78.51,12.03,26.41,4105,Overheating
Lenovo ThinkCentre M90q,33.78,27.22,57.53,12.15,37.39,1910,No Problem
HP Z2 G8,76.86,89.46,77.67,12.16,57.9,2408,Memory Leak
HP Z2 G8,17.58,35.06,40.19,14.5,60.52,3437,Power Issue
Lenovo ThinkCentre M90q,57.06,93.02,83.37,12.08,52.36,4783,Memory Leak
Dell Precision 3650,87.96,79.77,85.57,12.71,71.31,4591,Overheating
HP EliteDesk 800 G6,29.98,40.02,40.03,12.12,79.84,2977,No Problem
Dell OptiPlex 7090,65.55,100.0,52.99,12.03,36.68,2399,Memory Leak
Lenovo ThinkCentre M90q,83.3,86.59,62.66,11.82,47.49,3047,Memory Leak
Dell OptiPlex 7090,63.11,61.25,43.32,11.91,79.75,2359,Disk Failure
HP Z2 G8,75.91,99.86,81.4,12.09,63.57,3410,Memory Leak
Lenovo ThinkCentre M90q,28.89,40.41,57.0,11.92,37.2,2176,No Problem
Dell OptiPlex 7090,44.93,89.25,71.14,12.8,58.11,4003,Memory Leak
HP EliteDesk 800 G6,89.59,93.19,62.47,11.99,85.08,3598,Memory Leak
HP Z2 G8,70.6,67.08,48.69,12.19,88.62,2719,Disk Failure
HP Z2 G8,81.62,24.55,85.67,12.31,74.21,4829,Overheating
Lenovo ThinkCentre M90q,52.34,8.0,54.12,11.44,75.65,2365,Disk Failure
HP Z2 G8,63.95,85.46,110.64,11.75,47.17,1185,Overheating
HP Z2 G8,89.09,100.0,90.39,12.47,52.34,4718,Overheating
HP Z2 G8,63.76,17.84,43.04,11.64,41.61,1672,Disk Failure
HP Z2 G8,15.76,43.18,52.26,11.94,32.78,2537,No Problem
Dell Precision 3650,70.87,61.54,94.03,12.05,69.37,5830,Overheating
Lenovo ThinkCentre M90q,21.01,57.49,43.96,14.57,43.29,1835,Power Issue
Dell Precision 3650,72.65,94.7,67.73,12.09,45.91,2304,Memory Leak
Lenovo ThinkCentre M90q,5.0,54.09,40.56,11.75,56.06,1824,No Problem
HP EliteDesk 800 G6,80.33,79.45,87.46,12.25,40.96,3734,Overheating
Lenovo ThinkCentre M90q,52.22,83.51,69.88,11.8,74.14,3812,Memory Leak
Dell OptiPlex 7090,5.0,70.58,41.62,11.85,71.63,2124,No Problem
HP EliteDesk 800 G6,76.42,41.14,58.29,11.64,85.68,1810,Disk Failure
Lenovo ThinkCentre M90q,20.0,93.74,64.39,12.3,23.27,3470,Memory Leak
Dell OptiPlex 7090,55.69,61.2,43.63,12.11,89.73,2058,Disk Failure
Dell OptiPlex 7090,71.74,60.08,102.46,11.85,43.93,1273,Overheating
HP EliteDesk 800 G6,64.24,86.4,78.94,12.18,35.74,3584,Memory Leak
HP EliteDesk 800 G6,30.7,86.95,63.18,11.72,29.1,2644,Memory Leak
Dell Precision 3650,46.47,48.09,63.37,12.42,52.12,2753,Disk Failure
HP Z2 G8,63.63,45.0,91.81,11.89,65.25,1494,Overheating
Dell OptiPlex 7090,40.98,41.57,91.17,12.11,58.26,3006,Power Issue
Lenovo ThinkCentre M90q,47.05,39.45,54.6,11.85,82.0,2560,No Problem
HP EliteDesk 800 G6,37.0,79.03,59.87,12.07,23.31,3379,Memory Leak
HP EliteDesk 800 G6,61.21,61.1,99.2,11.47,62.58,3886,Overheating
HP EliteDesk 800 G6,78.9,80.53,71.85,11.84,81.18,3724,Memory Leak
Dell OptiPlex 7090,74.81,98.51,73.35,12.41,32.37,1927,Memory Leak
