RepairID,PC_ID,UserComplaint,Symptoms,ProblemDetected,ConfirmedDiagnosis,RootCause,TreatmentTaken,RepairStatus,TechnicianNotes,ResolutionVerified
REP-00032,DRDO-PC-0104,User reports: PC slows down after temperature increases,Performance drop correlated with temperature rise,Overheating,Temperature-induced performance throttling,Thermal paste aging,Renewed aged thermal compound,Completed,Diagnosis confirmed through targeted checks. Renewed aged thermal compound,Yes
REP-00232,DRDO-PC-0056,User reports: Storage device disconnects intermittently,Intermittent storage disconnect,Disk Failure,Intermittent storage availability,Intermittent connector or device fault,Checked connector and replaced intermittent storage device,Completed,Diagnosis confirmed through targeted checks. Checked connector and replaced intermittent storage device,Yes
REP-00964,DRDO-PC-0096,No fault reported; requesting standard diagnostics,Normal operation; diagnostics requested,No Problem,No reproducible hardware issue,No underlying fault identified,Ran standard diagnostics; no corrective action required,Completed,Diagnosis confirmed through targeted checks. Ran standard diagnostics; no corrective action required,Yes
REP-00193,DRDO-PC-0060,User reports: Machine overheats during rendering tasks,Extreme load temperature; throttling,Overheating,Cooling capacity insufficient for sustained load,Heatsink fin contamination,Deep-cleaned heatsink and fan assembly,Completed,Diagnosis confirmed through targeted checks. Deep-cleaned heatsink and fan assembly,Yes
REP-00334,DRDO-PC-0045,Observed issue: System fails to boot from the primary drive occasionally and requests diagnosis.,Occasional boot-device failure,Disk Failure,Primary boot drive instability,Boot drive degradation,Replaced primary boot drive and restored system image,Completed,Diagnosis confirmed through targeted checks. Replaced primary boot drive and restored system image,Yes
REP-00004,DRDO-PC-0062,High temperature warning appears during processing,High temperature alert; reduced clock speed,Overheating,Processor thermal limit exceeded,Heatsink contact pressure reduced,Reseated heatsink and renewed thermal interface material,Completed,Diagnosis confirmed through targeted checks. Reseated heatsink and renewed thermal interface material,Yes
REP-00205,DRDO-PC-0052,Frequent read errors occur when accessing project files,Repeated read errors; inaccessible sectors,Disk Failure,Media read degradation,Growing unreadable sectors,Cloned recoverable data and replaced drive,Completed,Diagnosis confirmed through targeted checks. Cloned recoverable data and replaced drive,Yes
REP-00515,DRDO-PC-0056,User reports: Browser or application memory never returns after tabs close during recent operation.,Memory not reclaimed after workload ends,Memory Leak,Application memory reclamation failure,Application cache not released,Cleared faulty cache behavior and updated application,Completed,Diagnosis confirmed through targeted checks. Cleared faulty cache behavior and updated application,Yes
REP-00800,DRDO-PC-0084,User reports: Power-on attempts sometimes produce no response,Intermittent no-power condition,Power Issue,Intermittent power-on path fault,Intermittent front-panel or PSU startup path,Repaired startup switch path or replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Repaired startup switch path or replaced intermittent PSU,Yes
REP-00307,DRDO-PC-0097,User reports: Applications hang during file save operations during recent operation.,Write latency spike; application hang,Disk Failure,Storage write-path degradation,Failing NAND cells or magnetic media,Replaced failing SSD or HDD and verified write stability,Completed,Diagnosis confirmed through targeted checks. Replaced failing SSD or HDD and verified write stability,Yes
REP-00110,DRDO-PC-0098,User reports: Computer gets hot even though room temperature is normal during recent operation.,High idle temperature; poor heat dissipation,Overheating,Abnormally high idle thermal state,Background process load combined with poor cooling,Reduced abnormal background load and serviced cooling system,Completed,Diagnosis confirmed through targeted checks. Reduced abnormal background load and serviced cooling system,Yes
REP-00431,DRDO-PC-0077,User reports: Background service keeps increasing its memory footprint,Background-service working set growth,Memory Leak,Background service memory leak,Background service resource leak,Restarted and patched leaking background service,Completed,Diagnosis confirmed through targeted checks. Restarted and patched leaking background service,Yes
REP-00078,DRDO-PC-0016,Maintenance note: Workstation overheats during continuous operation.,Sustained thermal stress during continuous operation,Overheating,Continuous-operation thermal instability,Long-duration load with degraded cooling assembly,Serviced cooling assembly for continuous-duty operation,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly for continuous-duty operation,Yes
REP-00085,DRDO-PC-0104,Machine gets unusually hot while running simulations during recent operation.,Persistent heat under load; performance degradation,Overheating,Cooling system unable to dissipate workload heat,Undersized or degraded cooling performance,Serviced cooling assembly and performed sustained-load test,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly and performed sustained-load test,Yes
REP-00287,DRDO-PC-0016,Applications hang during file save operations during recent operation.,Write latency spike; application hang,Disk Failure,Storage write-path degradation,Failing NAND cells or magnetic media,Replaced failing SSD or HDD and verified write stability,Completed,Diagnosis confirmed through targeted checks. Replaced failing SSD or HDD and verified write stability,Yes
REP-00083,DRDO-PC-0098,Computer shuts down after getting very hot during recent operation.,Thermal shutdown; excessive heat,Overheating,Thermal protection event confirmed,Cooling fan degradation,Replaced degraded cooling fan and validated RPM response,Completed,Diagnosis confirmed through targeted checks. Replaced degraded cooling fan and validated RPM response,Yes
REP-00992,DRDO-PC-0035,User reports: Preventive check requested after long uptime,Stable long-uptime behavior,No Problem,Long-uptime health check passed,No uptime-related degradation detected,Performed preventive check and retained baseline metrics,Completed,Diagnosis confirmed through targeted checks. Performed preventive check and retained baseline metrics,Yes
REP-00790,DRDO-PC-0074,User reports: Machine powers down during stress testing,Shutdown during stress load,Power Issue,Power failure under sustained stress,PSU protection triggered under load,Replaced PSU triggering protection under stress,Completed,Diagnosis confirmed through targeted checks. Replaced PSU triggering protection under stress,Yes
REP-00895,DRDO-PC-0010,"No shutdowns, overheating, or storage errors observed during recent operation.","No thermal, storage, or power symptoms",No Problem,No evidence of thermal storage or power fault,No evidence of targeted failure modes,Checked thermal storage and power indicators; no repair needed,Completed,Diagnosis confirmed through targeted checks. Checked thermal storage and power indicators; no repair needed,Yes
REP-00399,DRDO-PC-0076,User reports: Database operations fail with storage read write errors,Read write failure during database activity,Disk Failure,Storage read write reliability failure,Unreliable storage subsystem,Restored database from backup onto healthy storage,Completed,Diagnosis confirmed through targeted checks. Restored database from backup onto healthy storage,Yes
REP-00324,DRDO-PC-0057,Observed issue: Computer sometimes cannot detect the storage drive and requests diagnosis.,Intermittent drive detection failure,Disk Failure,Intermittent storage interface or device failure,Loose interface connection or failing drive controller,"Reseated storage connection, tested interface, and replaced drive if instability persisted",Completed,"Diagnosis confirmed through targeted checks. Reseated storage connection, tested interface, and replaced drive if instability persisted",Yes
REP-00520,DRDO-PC-0095,User reports: Only rebooting restores normal memory usage during recent operation.,Normal memory restored only after reboot,Memory Leak,Persistent memory leak requiring process reset,Leaking process cleared only by restart,Updated leaking process and confirmed reboot is no longer required,Completed,Diagnosis confirmed through targeted checks. Updated leaking process and confirmed reboot is no longer required,Yes
REP-00917,DRDO-PC-0059,User reports: User requests confirmation that hardware is healthy during recent operation.,No hardware symptoms reported,No Problem,Hardware health check passed,No hardware defect detected,Verified hardware health and documented baseline,Completed,Diagnosis confirmed through targeted checks. Verified hardware health and documented baseline,Yes
REP-00923,DRDO-PC-0002,Observed issue: Preventive inspection requested before deployment and requests diagnosis.,No fault indicators during preventive check,No Problem,Preventive inspection passed,Preventive maintenance request,Performed preventive inspection and documented results,Completed,Diagnosis confirmed through targeted checks. Performed preventive inspection and documented results,Yes
REP-00006,DRDO-PC-0042,The case feels very hot and performance drops,Hot exhaust air; CPU throttling,Overheating,Heat rejection performance degraded,Dust accumulation on heatsink fins,Cleaned heatsink fins and verified temperature reduction,Completed,Diagnosis confirmed through targeted checks. Cleaned heatsink fins and verified temperature reduction,Yes
REP-00732,DRDO-PC-0055,Observed issue: Voltage warning appears in hardware monitoring and requests diagnosis.,Out-of-range voltage alert,Power Issue,Voltage regulation abnormality,Out-of-tolerance power rail,Corrected out-of-range power rail with PSU replacement,Completed,Diagnosis confirmed through targeted checks. Corrected out-of-range power rail with PSU replacement,Yes
REP-00466,DRDO-PC-0087,Maintenance note: Available memory steadily decreases during the day.,Declining available RAM over time,Memory Leak,Progressive system memory depletion,Unbounded cache or object retention,Limited unbounded cache and applied software fix,Completed,Diagnosis confirmed through targeted checks. Limited unbounded cache and applied software fix,Yes
REP-00098,DRDO-PC-0068,Workstation overheats during continuous operation during recent operation.,Sustained thermal stress during continuous operation,Overheating,Continuous-operation thermal instability,Long-duration load with degraded cooling assembly,Serviced cooling assembly for continuous-duty operation,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly for continuous-duty operation,Yes
REP-00267,DRDO-PC-0088,Maintenance note: Applications hang during file save operations.,Write latency spike; application hang,Disk Failure,Storage write-path degradation,Failing NAND cells or magnetic media,Replaced failing SSD or HDD and verified write stability,Completed,Diagnosis confirmed through targeted checks. Replaced failing SSD or HDD and verified write stability,Yes
REP-00358,DRDO-PC-0020,Maintenance note: Folders open slowly and explorer frequently stops responding and requests diagnosis.,High directory-access latency; explorer hangs,Disk Failure,Excessive storage access latency,High retry rate from failing media,Replaced high-retry storage device and verified access latency,Completed,Diagnosis confirmed through targeted checks. Replaced high-retry storage device and verified access latency,Yes
REP-00869,DRDO-PC-0058,Maintenance note: General system health assessment requested.,No abnormal hardware behavior,No Problem,General diagnostics within expected range,No abnormal hardware condition,Completed health assessment and updated maintenance record,Completed,Diagnosis confirmed through targeted checks. Completed health assessment and updated maintenance record,Yes
REP-00799,DRDO-PC-0030,User reports: Machine is stable at idle but reboots under load,Stable idle state; reboot under load,Power Issue,Load-dependent PSU instability,Voltage sag under load,Replaced PSU showing voltage sag under load,Completed,Diagnosis confirmed through targeted checks. Replaced PSU showing voltage sag under load,Yes
REP-00381,DRDO-PC-0022,User reports: Files take unusually long to open and disk errors appear,SMART warning; high read latency,Disk Failure,Storage device degradation confirmed,Aging storage media,"Backed up data, replaced drive, and verified SMART health",Completed,"Diagnosis confirmed through targeted checks. Backed up data, replaced drive, and verified SMART health",Yes
REP-00632,DRDO-PC-0053,User reports: Voltage warning appears in hardware monitoring,Out-of-range voltage alert,Power Issue,Voltage regulation abnormality,Out-of-tolerance power rail,Corrected out-of-range power rail with PSU replacement,Completed,Diagnosis confirmed through targeted checks. Corrected out-of-range power rail with PSU replacement,Yes
REP-00382,DRDO-PC-0054,User reports: PC freezes while copying large files,I O stall during file copy; system freeze,Disk Failure,Disk I O instability,Degraded drive electronics or media,Replaced degraded storage device and tested file transfers,Completed,Diagnosis confirmed through targeted checks. Replaced degraded storage device and tested file transfers,Yes
REP-00491,DRDO-PC-0084,Background service keeps increasing its memory footprint during recent operation.,Background-service working set growth,Memory Leak,Background service memory leak,Background service resource leak,Restarted and patched leaking background service,Completed,Diagnosis confirmed through targeted checks. Restarted and patched leaking background service,Yes
REP-00119,DRDO-PC-0076,User reports: System is running much hotter than usual during recent operation.,Temperature above normal operating baseline,Overheating,System thermal baseline elevated,Ambient airflow restriction,Cleared environmental and chassis airflow restrictions,Completed,Diagnosis confirmed through targeted checks. Cleared environmental and chassis airflow restrictions,Yes
REP-00901,DRDO-PC-0055,User reports: Routine health check requested with no reported issue during recent operation.,No abnormal symptoms reported,No Problem,No fault detected,No fault present,Completed diagnostics and recorded healthy baseline,Completed,Diagnosis confirmed through targeted checks. Completed diagnostics and recorded healthy baseline,Yes
REP-00251,DRDO-PC-0007,Observed issue: PC becomes unresponsive during disk-intensive tasks.,High disk active time; poor throughput,Disk Failure,Severe storage latency condition,Excessive internal drive retries,Replaced high-latency failing drive,Completed,Diagnosis confirmed through targeted checks. Replaced high-latency failing drive,Yes
REP-00524,DRDO-PC-0052,Observed issue: PC eventually freezes after prolonged operation and requests diagnosis.,Memory exhaustion; eventual freeze,Memory Leak,Memory exhaustion from leaking process,Leaking service exhausts available RAM,"Stopped leaking process, updated component, and performed long-duration test",Completed,"Diagnosis confirmed through targeted checks. Stopped leaking process, updated component, and performed long-duration test",Yes
REP-00010,DRDO-PC-0030,Computer gets hot even though room temperature is normal,High idle temperature; poor heat dissipation,Overheating,Abnormally high idle thermal state,Background process load combined with poor cooling,Reduced abnormal background load and serviced cooling system,Completed,Diagnosis confirmed through targeted checks. Reduced abnormal background load and serviced cooling system,Yes
REP-00197,DRDO-PC-0027,User reports: Heat buildup occurs near the processor area,Localized processor heat; elevated package temperature,Overheating,Processor heat-transfer path degraded,Uneven heatsink seating,Reseated CPU cooler with correct mounting pressure,Completed,Diagnosis confirmed through targeted checks. Reseated CPU cooler with correct mounting pressure,Yes
REP-00604,DRDO-PC-0057,Machine reboots when GPU or CPU load rises,Reboot under compute load,Power Issue,Load-dependent power failure,Insufficient or degraded PSU capacity,Installed correctly rated PSU and performed load test,Completed,Diagnosis confirmed through targeted checks. Installed correctly rated PSU and performed load test,Yes
REP-00082,DRDO-PC-0049,System heats up quickly even with moderate usage during recent operation.,Rapid temperature rise; hot chassis,Overheating,Restricted chassis airflow,Dust-blocked intake and exhaust vents,"Cleaned intake vents, exhaust vents, and internal airflow path",Completed,"Diagnosis confirmed through targeted checks. Cleaned intake vents, exhaust vents, and internal airflow path",Yes
REP-00784,DRDO-PC-0018,User reports: Machine reboots when GPU or CPU load rises,Reboot under compute load,Power Issue,Load-dependent power failure,Insufficient or degraded PSU capacity,Installed correctly rated PSU and performed load test,Completed,Diagnosis confirmed through targeted checks. Installed correctly rated PSU and performed load test,Yes
REP-00588,DRDO-PC-0056,User reports: System starts normally but becomes sluggish over time,Time-dependent slowdown; increasing memory pressure,Memory Leak,Time-dependent memory leak,Resource cleanup defect,Corrected resource cleanup path and tested prolonged runtime,Completed,Diagnosis confirmed through targeted checks. Corrected resource cleanup path and tested prolonged runtime,Yes
REP-00798,DRDO-PC-0068,User reports: System log shows repeated unexpected power events,Repeated unexpected power events,Power Issue,Recurring power delivery event,Unstable system power source,Diagnosed repeated power events and restored stable supply path,Completed,Diagnosis confirmed through targeted checks. Diagnosed repeated power events and restored stable supply path,Yes
REP-00240,DRDO-PC-0098,User reports: The machine shows recurring storage timeout messages,Storage command timeout; repeated retries,Disk Failure,Recurring storage timeout condition,Drive command processing instability,Replaced unstable drive and verified timeout events cleared,Completed,Diagnosis confirmed through targeted checks. Replaced unstable drive and verified timeout events cleared,Yes
REP-00291,DRDO-PC-0006,PC becomes unresponsive during disk-intensive tasks during recent operation.,High disk active time; poor throughput,Disk Failure,Severe storage latency condition,Excessive internal drive retries,Replaced high-latency failing drive,Completed,Diagnosis confirmed through targeted checks. Replaced high-latency failing drive,Yes
REP-00212,DRDO-PC-0089,Storage device disconnects intermittently,Intermittent storage disconnect,Disk Failure,Intermittent storage availability,Intermittent connector or device fault,Checked connector and replaced intermittent storage device,Completed,Diagnosis confirmed through targeted checks. Checked connector and replaced intermittent storage device,Yes
REP-00718,DRDO-PC-0001,User reports: System log shows repeated unexpected power events during recent operation.,Repeated unexpected power events,Power Issue,Recurring power delivery event,Unstable system power source,Diagnosed repeated power events and restored stable supply path,Completed,Diagnosis confirmed through targeted checks. Diagnosed repeated power events and restored stable supply path,Yes
REP-00360,DRDO-PC-0033,Maintenance note: The machine shows recurring storage timeout messages and requests diagnosis.,Storage command timeout; repeated retries,Disk Failure,Recurring storage timeout condition,Drive command processing instability,Replaced unstable drive and verified timeout events cleared,Completed,Diagnosis confirmed through targeted checks. Replaced unstable drive and verified timeout events cleared,Yes
REP-00450,DRDO-PC-0099,Observed issue: RAM reaches near full capacity without additional workload.,Near-capacity RAM without workload increase,Memory Leak,Abnormal RAM growth without workload growth,Runaway software allocation,Removed faulty software component causing runaway allocation,Completed,Diagnosis confirmed through targeted checks. Removed faulty software component causing runaway allocation,Yes
REP-00228,DRDO-PC-0063,User reports: Drive makes abnormal clicking sounds,Abnormal mechanical noise; read retries,Disk Failure,Mechanical drive failure indicators,Mechanical head or spindle degradation,Replaced mechanically failing drive immediately,Completed,Diagnosis confirmed through targeted checks. Replaced mechanically failing drive immediately,Yes
REP-00951,DRDO-PC-0017,Maintenance note: Workstation is functioning normally after recent update and requests diagnosis.,Normal post-update operation,No Problem,Post-update system healthy,No post-update fault,Verified normal operation after update,Completed,Diagnosis confirmed through targeted checks. Verified normal operation after update,Yes
REP-00947,DRDO-PC-0042,Maintenance note: User reports no active problem and requests diagnosis.,No user-observed fault,No Problem,No active problem identified,No active failure mechanism,No repair performed; advised normal monitoring,Completed,Diagnosis confirmed through targeted checks. No repair performed; advised normal monitoring,Yes
REP-00797,DRDO-PC-0069,User reports: PC turns off immediately after starting a demanding task,Immediate shutdown on demanding workload,Power Issue,Immediate load-triggered power protection event,Load-triggered overcurrent or undervoltage protection,Corrected overload condition and replaced degraded supply if needed,Completed,Diagnosis confirmed through targeted checks. Corrected overload condition and replaced degraded supply if needed,Yes
REP-00502,DRDO-PC-0039,User reports: System becomes slow after applications stay open for hours during recent operation.,Progressive slowdown; rising memory usage,Memory Leak,Long-running application memory retention,Long-running process retains unused objects,"Restarted affected service, applied update, and monitored memory trend",Completed,"Diagnosis confirmed through targeted checks. Restarted affected service, applied update, and monitored memory trend",Yes
REP-00465,DRDO-PC-0066,Maintenance note: One application consumes more memory continuously.,Single-process memory growth,Memory Leak,Application-specific memory leak,Application allocation growth,Updated or reconfigured affected application and monitored working set,Completed,Diagnosis confirmed through targeted checks. Updated or reconfigured affected application and monitored working set,Yes
REP-00363,DRDO-PC-0022,System reports SMART warnings for the drive,SMART attributes outside healthy range,Disk Failure,SMART-predicted drive failure,SMART attribute deterioration,Migrated data to a healthy drive and retired failing device,Completed,Diagnosis confirmed through targeted checks. Migrated data to a healthy drive and retired failing device,Yes
REP-00469,DRDO-PC-0094,Maintenance note: Multiple applications crash after memory usage climbs.,Application crashes under high memory pressure,Memory Leak,Memory-pressure-induced application instability,Memory pressure from unreleased application objects,Updated unstable application and validated under memory pressure,Completed,Diagnosis confirmed through targeted checks. Updated unstable application and validated under memory pressure,Yes
REP-00936,DRDO-PC-0093,Observed issue: PC passes normal use but requires scheduled inspection and requests diagnosis.,Normal use; preventive inspection due,No Problem,Preventive inspection normal,Scheduled preventive requirement,Completed scheduled inspection with no defect found,Completed,Diagnosis confirmed through targeted checks. Completed scheduled inspection with no defect found,Yes
REP-00429,DRDO-PC-0075,User reports: Multiple applications crash after memory usage climbs,Application crashes under high memory pressure,Memory Leak,Memory-pressure-induced application instability,Memory pressure from unreleased application objects,Updated unstable application and validated under memory pressure,Completed,Diagnosis confirmed through targeted checks. Updated unstable application and validated under memory pressure,Yes
REP-00008,DRDO-PC-0051,Temperature rises rapidly during sustained CPU load,Temperature spike; delayed cooling response,Overheating,Cooling response lag detected,Fan-control response delay,Corrected fan-control configuration and tested response,Completed,Diagnosis confirmed through targeted checks. Corrected fan-control configuration and tested response,Yes
REP-00156,DRDO-PC-0043,Maintenance note: PC gets hot and unexpectedly powers off and requests diagnosis.,Overtemperature followed by shutdown,Overheating,Emergency thermal shutdown condition,Critical cooling failure,Replaced failed cooling components and ran thermal stress test,Completed,Diagnosis confirmed through targeted checks. Replaced failed cooling components and ran thermal stress test,Yes
REP-00542,DRDO-PC-0028,Maintenance note: System becomes slow after applications stay open for hours and requests diagnosis.,Progressive slowdown; rising memory usage,Memory Leak,Long-running application memory retention,Long-running process retains unused objects,"Restarted affected service, applied update, and monitored memory trend",Completed,"Diagnosis confirmed through targeted checks. Restarted affected service, applied update, and monitored memory trend",Yes
REP-00441,DRDO-PC-0092,Observed issue: RAM usage keeps increasing the longer the PC runs.,Monotonic RAM growth; no release after workload,Memory Leak,Probable software memory leak,Application fails to release allocated memory,"Identified leaking process, updated software, and verified stable RAM usage",Completed,"Diagnosis confirmed through targeted checks. Identified leaking process, updated software, and verified stable RAM usage",Yes
REP-00483,DRDO-PC-0093,Memory usage remains high even after closing tasks during recent operation.,High committed memory after applications close,Memory Leak,Unreleased memory allocation,Defective memory management in software,Patched application and confirmed memory is released after workload,Completed,Diagnosis confirmed through targeted checks. Patched application and confirmed memory is released after workload,Yes
REP-00423,DRDO-PC-0046,User reports: Memory usage remains high even after closing tasks,High committed memory after applications close,Memory Leak,Unreleased memory allocation,Defective memory management in software,Patched application and confirmed memory is released after workload,Completed,Diagnosis confirmed through targeted checks. Patched application and confirmed memory is released after workload,Yes
REP-00779,DRDO-PC-0056,Machine is stable at idle but reboots under load,Stable idle state; reboot under load,Power Issue,Load-dependent PSU instability,Voltage sag under load,Replaced PSU showing voltage sag under load,Completed,Diagnosis confirmed through targeted checks. Replaced PSU showing voltage sag under load,Yes
REP-00950,DRDO-PC-0074,Maintenance note: No warning messages or unusual behavior observed and requests diagnosis.,No warnings; no instability,No Problem,No abnormal condition detected,Normal telemetry and event behavior,Reviewed logs and telemetry; no action required,Completed,Diagnosis confirmed through targeted checks. Reviewed logs and telemetry; no action required,Yes
REP-00335,DRDO-PC-0071,Observed issue: Disk usage stays at 100 percent with very low throughput and requests diagnosis.,Sustained 100 percent disk activity; low throughput,Disk Failure,Storage saturation with abnormal throughput,Drive firmware or media degradation,Diagnosed active-time saturation and replaced failing storage when hardware fault confirmed,Completed,Diagnosis confirmed through targeted checks. Diagnosed active-time saturation and replaced failing storage when hardware fault confirmed,Yes
REP-00577,DRDO-PC-0043,System reports low memory despite few active applications,Low available memory with limited active workload,Memory Leak,Abnormal committed-memory retention,Hidden background process retains memory,Identified hidden leaking process and updated it,Completed,Diagnosis confirmed through targeted checks. Identified hidden leaking process and updated it,Yes
REP-00935,DRDO-PC-0003,"Observed issue: No shutdowns, overheating, or storage errors observed and requests diagnosis.","No thermal, storage, or power symptoms",No Problem,No evidence of thermal storage or power fault,No evidence of targeted failure modes,Checked thermal storage and power indicators; no repair needed,Completed,Diagnosis confirmed through targeted checks. Checked thermal storage and power indicators; no repair needed,Yes
REP-00568,DRDO-PC-0057,System starts normally but becomes sluggish over time,Time-dependent slowdown; increasing memory pressure,Memory Leak,Time-dependent memory leak,Resource cleanup defect,Corrected resource cleanup path and tested prolonged runtime,Completed,Diagnosis confirmed through targeted checks. Corrected resource cleanup path and tested prolonged runtime,Yes
REP-00595,DRDO-PC-0024,User reports: Browser or application memory never returns after tabs close,Memory not reclaimed after workload ends,Memory Leak,Application memory reclamation failure,Application cache not released,Cleared faulty cache behavior and updated application,Completed,Diagnosis confirmed through targeted checks. Cleared faulty cache behavior and updated application,Yes
REP-00531,DRDO-PC-0080,Observed issue: Background service keeps increasing its memory footprint and requests diagnosis.,Background-service working set growth,Memory Leak,Background service memory leak,Background service resource leak,Restarted and patched leaking background service,Completed,Diagnosis confirmed through targeted checks. Restarted and patched leaking background service,Yes
REP-00582,DRDO-PC-0067,User reports: System becomes slow after applications stay open for hours,Progressive slowdown; rising memory usage,Memory Leak,Long-running application memory retention,Long-running process retains unused objects,"Restarted affected service, applied update, and monitored memory trend",Completed,"Diagnosis confirmed through targeted checks. Restarted affected service, applied update, and monitored memory trend",Yes
REP-00708,DRDO-PC-0010,User reports: Computer cycles on and off during startup during recent operation.,Power cycling during boot,Power Issue,Startup power sequencing instability,Power sequencing fault,Repaired or replaced component causing startup power cycling,Completed,Diagnosis confirmed through targeted checks. Repaired or replaced component causing startup power cycling,Yes
REP-00449,DRDO-PC-0021,Observed issue: Multiple applications crash after memory usage climbs.,Application crashes under high memory pressure,Memory Leak,Memory-pressure-induced application instability,Memory pressure from unreleased application objects,Updated unstable application and validated under memory pressure,Completed,Diagnosis confirmed through targeted checks. Updated unstable application and validated under memory pressure,Yes
REP-00454,DRDO-PC-0015,Observed issue: Memory pressure warning appears repeatedly.,Repeated low-memory warnings,Memory Leak,Sustained memory pressure condition,Software memory management defect,Investigated low-memory events and patched responsible software,Completed,Diagnosis confirmed through targeted checks. Investigated low-memory events and patched responsible software,Yes
REP-00229,DRDO-PC-0097,User reports: Large file transfers fail before completion,Transfer failure; I O retry events,Disk Failure,Unreliable sustained storage transfer,Unstable drive under sustained transfer,Replaced unstable drive and validated sustained transfers,Completed,Diagnosis confirmed through targeted checks. Replaced unstable drive and validated sustained transfers,Yes
REP-00353,DRDO-PC-0012,Maintenance note: Some files have become corrupted without explanation and requests diagnosis.,File corruption; storage errors,Disk Failure,Data integrity risk from degraded drive,Uncorrectable storage errors,Recovered valid data and replaced degraded drive,Completed,Diagnosis confirmed through targeted checks. Recovered valid data and replaced degraded drive,Yes
REP-00729,DRDO-PC-0088,Observed issue: Unexpected restart occurs despite normal temperature and requests diagnosis.,Unexpected restart at normal temperature,Power Issue,Non-thermal restart caused by power instability,Transient voltage drop,"Verified temperatures normal, then replaced power-delivery fault source",Completed,"Diagnosis confirmed through targeted checks. Verified temperatures normal, then replaced power-delivery fault source",Yes
REP-00213,DRDO-PC-0104,Some files have become corrupted without explanation,File corruption; storage errors,Disk Failure,Data integrity risk from degraded drive,Uncorrectable storage errors,Recovered valid data and replaced degraded drive,Completed,Diagnosis confirmed through targeted checks. Recovered valid data and replaced degraded drive,Yes
REP-00080,DRDO-PC-0077,Maintenance note: Thermal throttling occurs during demanding applications.,Clock reduction under high temperature,Overheating,CPU thermal throttling confirmed,Processor cooler contamination,Cleaned processor cooler and verified throttling no longer occurs,Completed,Diagnosis confirmed through targeted checks. Cleaned processor cooler and verified throttling no longer occurs,Yes
REP-00149,DRDO-PC-0038,Maintenance note: System becomes hot and starts throttling and requests diagnosis.,Thermal throttling; elevated fan activity,Overheating,Thermal throttling condition confirmed,Restricted airflow around CPU cooler,Removed airflow obstruction around processor cooler,Completed,Diagnosis confirmed through targeted checks. Removed airflow obstruction around processor cooler,Yes
REP-00303,DRDO-PC-0066,User reports: System reports SMART warnings for the drive during recent operation.,SMART attributes outside healthy range,Disk Failure,SMART-predicted drive failure,SMART attribute deterioration,Migrated data to a healthy drive and retired failing device,Completed,Diagnosis confirmed through targeted checks. Migrated data to a healthy drive and retired failing device,Yes
REP-00629,DRDO-PC-0014,User reports: Unexpected restart occurs despite normal temperature,Unexpected restart at normal temperature,Power Issue,Non-thermal restart caused by power instability,Transient voltage drop,"Verified temperatures normal, then replaced power-delivery fault source",Completed,"Diagnosis confirmed through targeted checks. Verified temperatures normal, then replaced power-delivery fault source",Yes
REP-00778,DRDO-PC-0008,System log shows repeated unexpected power events,Repeated unexpected power events,Power Issue,Recurring power delivery event,Unstable system power source,Diagnosed repeated power events and restored stable supply path,Completed,Diagnosis confirmed through targeted checks. Diagnosed repeated power events and restored stable supply path,Yes
REP-00507,DRDO-PC-0068,User reports: Restart temporarily fixes very high RAM usage during recent operation.,High RAM relieved only by restart,Memory Leak,Persistent allocation leak,Persistent process allocation leak,Applied vendor patch and verified allocation stability,Completed,Diagnosis confirmed through targeted checks. Applied vendor patch and verified allocation stability,Yes
REP-00343,DRDO-PC-0015,Maintenance note: System reports SMART warnings for the drive and requests diagnosis.,SMART attributes outside healthy range,Disk Failure,SMART-predicted drive failure,SMART attribute deterioration,Migrated data to a healthy drive and retired failing device,Completed,Diagnosis confirmed through targeted checks. Migrated data to a healthy drive and retired failing device,Yes
REP-00486,DRDO-PC-0010,Available memory steadily decreases during the day during recent operation.,Declining available RAM over time,Memory Leak,Progressive system memory depletion,Unbounded cache or object retention,Limited unbounded cache and applied software fix,Completed,Diagnosis confirmed through targeted checks. Limited unbounded cache and applied software fix,Yes
REP-00712,DRDO-PC-0018,User reports: Voltage warning appears in hardware monitoring during recent operation.,Out-of-range voltage alert,Power Issue,Voltage regulation abnormality,Out-of-tolerance power rail,Corrected out-of-range power rail with PSU replacement,Completed,Diagnosis confirmed through targeted checks. Corrected out-of-range power rail with PSU replacement,Yes
REP-00134,DRDO-PC-0069,Observed issue: System temperature remains high after workload ends and requests diagnosis.,Slow cooldown; persistent elevated temperature,Overheating,Heat retention after workload,Poor chassis ventilation,Improved chassis ventilation and cleared obstructions,Completed,Diagnosis confirmed through targeted checks. Improved chassis ventilation and cleared obstructions,Yes
REP-00704,DRDO-PC-0067,User reports: Machine reboots when GPU or CPU load rises during recent operation.,Reboot under compute load,Power Issue,Load-dependent power failure,Insufficient or degraded PSU capacity,Installed correctly rated PSU and performed load test,Completed,Diagnosis confirmed through targeted checks. Installed correctly rated PSU and performed load test,Yes
